0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"288, 88","280, 128",,,,,,,"272, 208","280, 264","272, 328",,,,"280, 168"
"288, 88","280, 128",,,,,,,"280, 208","280, 264","272, 328",,,,"280, 168"
"288, 88","280, 128",,,,,,,"272, 208","280, 264","272, 328",,,,"280, 168"
"288, 88","280, 128",,,,,,,"272, 208","280, 264","272, 328",,,,"280, 168"
"288, 88","280, 128",,,,,,,"280, 208","280, 272","272, 328",,,,"280, 168"
"288, 88","280, 128",,,,,,,"280, 208","280, 272","272, 328",,,,"280, 168"
"288, 88","280, 128",,,,,,,"280, 208","280, 272","272, 328",,,,"280, 168"
"288, 88","280, 128",,,,,,,"280, 208","280, 272","272, 328",,,,"280, 168"
"288, 88","280, 128",,,,,,,"280, 208","280, 264","272, 328",,,,"280, 168"
"288, 88","280, 128",,,,,,,"280, 208","280, 272","272, 328",,,,"280, 168"
